type,id,title,url,points,language
question,Jあ,Jあ Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=J%E3%81%82,10,ja
question,Jい,Jい Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=J%E3%81%84,15,ja
question,Cあ,Cあ Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=C%E3%81%82,10,zh-Hant
question,Cい,Cい Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=C%E3%81%84,15,zh-Hant
treasure,Tあ,Treasure QR Tあ,https://ryonma-git.github.io/taiwan-exchange-rally/?treasure=T%E3%81%82,translation-key +1,all
treasure,Tい,Treasure QR Tい,https://ryonma-git.github.io/taiwan-exchange-rally/?treasure=T%E3%81%84,translation-key +1,all
